,trade_seq,trade_id,timestamp,tick_direction,price,mark_price,iv,instrument_name,index_price,direction,amount,block_trade_id
0,2,54082677,2020-09-22 00:02:14.107,1,0.022500000000000003,0.02318444,74.87,BTC-23SEP20-10500-P,10408.52,buy,1.0,
1,6923,54082727,2020-09-22 00:03:02.423,0,0.007500000000000001,0.0062999200000000005,126.63,BTC-25SEP20-12000-C,10384.78,buy,5.0,
2,6924,54082728,2020-09-22 00:03:02.423,0,0.008,0.0062999200000000005,129.07,BTC-25SEP20-12000-C,10384.78,buy,5.0,
3,6925,54082729,2020-09-22 00:03:02.423,0,0.0085,0.0062999200000000005,131.45,BTC-25SEP20-12000-C,10384.78,buy,5.0,
4,6926,54082730,2020-09-22 00:03:02.423,0,0.0115,0.0062999200000000005,144.72,BTC-25SEP20-12000-C,10384.78,buy,5.0,
5,2,54082776,2020-09-22 00:03:33.679,2,0.011,0.014203180000000001,67.95,BTC-23SEP20-10250-P,10367.48,buy,4.0,
6,1,54083145,2020-09-22 00:14:19.820,1,0.0845,0.08159337,116.96,BTC-23SEP20-9625-C,10467.16,buy,100.0,20159.0
7,3,54083146,2020-09-22 00:14:19.821,0,0.0095,0.01142635,82.66,BTC-23SEP20-10750-C,10467.16,sell,100.0,20159.0
8,2,54083320,2020-09-22 00:19:48.175,2,0.092,0.0939496,0.0,BTC-23SEP20-9500-C,10474.96,sell,100.0,20160.0
9,2,54083321,2020-09-22 00:19:48.176,2,0.07200000000000001,0.07119389,91.99,BTC-23SEP20-9750-C,10474.96,buy,100.0,20160.0
10,699,54083858,2020-09-22 00:42:12.446,0,0.5365,0.55403927,72.45,BTC-25DEC20-16000-P,10449.64,sell,0.1,
11,700,54083859,2020-09-22 00:42:12.446,2,0.535,0.55403927,71.3,BTC-25DEC20-16000-P,10449.64,sell,0.1,
12,701,54083860,2020-09-22 00:42:12.446,2,0.534,0.55403927,70.52,BTC-25DEC20-16000-P,10449.64,sell,0.1,
13,702,54083861,2020-09-22 00:42:12.446,2,0.5335,0.55403927,70.13,BTC-25DEC20-16000-P,10449.64,sell,0.1,
14,703,54083862,2020-09-22 00:42:12.446,2,0.5325,0.55403927,69.33,BTC-25DEC20-16000-P,10449.64,sell,0.1,
15,704,54083887,2020-09-22 00:46:29.313,0,0.584,0.5520960500000001,103.67,BTC-25DEC20-16000-P,10464.99,buy,0.1,
16,705,54083888,2020-09-22 00:46:29.313,0,0.585,0.5520960500000001,104.24,BTC-25DEC20-16000-P,10464.99,buy,0.1,
17,706,54083889,2020-09-22 00:46:29.313,0,0.586,0.5520960500000001,104.8,BTC-25DEC20-16000-P,10464.99,buy,0.1,
18,707,54083890,2020-09-22 00:46:29.313,0,0.5875,0.5520960500000001,105.63,BTC-25DEC20-16000-P,10464.99,buy,0.1,
19,708,54083891,2020-09-22 00:46:29.313,0,0.589,0.5520960500000001,106.47,BTC-25DEC20-16000-P,10464.99,buy,0.1,
